time,power
1,101.035
2,278.157
3,242.218
4,228.997
5,224.133
6,222.344
7,221.686
8,221.444
9,221.355
10,221.322
11,221.31
12,221.305
13,221.304
14,221.303
15,221.303
16,221.303
17,221.303
18,101.035
19,101.035
20,101.035
21,101.035
22,101.035
23,101.035
24,101.035
25,101.035
26,101.035
27,101.035
28,101.035
29,101.035
30,101.035
31,101.035
32,101.035
33,338.058
34,320.362
35,313.852
36,311.457
37,310.576
38,310.252
39,310.133
40,310.089
41,310.073
42,310.067
43,310.065
44,310.064
45,310.064
46,310.064
47,310.064
48,310.064
49,310.064
50,310.064
51,310.064
52,489.5
53,451.599
54,437.657
55,432.528
56,430.641
57,429.946
58,429.691
59,429.597
60,429.563
61,429.55
62,429.545
63,429.543
64,220.514
65,220.514
66,220.514
67,101.035
68,101.035
69,101.035
70,101.035
71,101.035
72,101.035
73,101.035
74,101.035
75,101.035
76,101.035
77,101.035
78,101.035
79,101.035
80,101.035
81,101.035
82,101.035
83,101.035
84,101.035
85,101.035
86,101.035
87,101.035
88,101.035
89,101.035
90,101.035
91,101.035
92,101.035
93,101.035
94,101.035
95,101.035
96,101.035
97,101.035
98,101.035
99,101.035
100,101.035
101,101.035
102,101.035
103,101.035
104,101.035
105,292.461
106,247.032
107,230.32
108,224.171
109,221.91
110,221.078
111,220.771
112,220.659
113,220.617
114,220.602
115,220.597
116,220.595
117,220.594
118,220.593
119,220.593
120,220.593
121,101.035
122,101.035
123,101.035
124,101.035
125,101.035
126,101.035
127,101.035
128,101.035
129,321.249
130,314.334
131,311.79
132,310.854
133,310.51
134,310.383
135,310.337
136,310.32
137,310.313
138,310.311
139,310.31
140,310.31
141,310.31
142,310.31
143,310.31
144,310.31
145,310.31
146,310.31
147,310.31
148,310.31
149,310.31
150,310.31
151,310.31
152,310.31
153,310.31
154,310.31
155,310.31
156,310.31
157,254.154
158,233.397
159,225.761
160,222.952
161,221.919
162,221.539
163,221.399
164,221.347
165,221.328
166,221.321
167,221.319
168,221.318
169,221.318
170,221.317
171,221.317
172,221.317
173,221.317
174,101.035
175,101.035
176,101.035
177,101.035
178,101.035
179,101.035
180,101.035
181,101.035
182,101.035
183,101.035
184,101.035
185,101.035
186,101.035
187,101.035
188,101.035
189,101.035
190,101.035
191,101.035
192,101.035
193,101.035
194,101.035
195,101.035
196,101.035
197,101.035
198,101.035
199,101.035
200,101.035
201,101.035
202,101.035
203,101.035
204,101.035
205,101.035
206,101.035
207,101.035
208,272.725
209,239.675
210,227.516
211,223.043
212,221.398
213,220.792
214,220.57
215,220.488
216,220.458
217,220.447
218,220.443
219,220.441
220,220.44
221,220.44
222,220.44
223,220.44
224,101.035
225,101.035
226,101.035
227,101.035
228,101.035
229,412.997
230,348.182
231,324.338
232,315.566
233,312.339
234,311.152
235,310.715
236,310.554
237,310.495
238,315.156
239,315.148
240,315.145
241,315.143
242,315.143
243,315.143
244,315.143
245,315.143
246,315.143
247,315.143
248,315.143
249,315.143
250,315.143
251,315.143
252,315.143
253,315.143
254,315.143
255,315.143
256,315.143
257,315.143
258,315.143
259,315.143
260,315.143
261,467.273
262,238.026
263,230.734
264,228.052
265,227.065
266,226.702
267,226.569
268,226.519
269,226.501
270,226.495
271,226.492
272,226.491
273,226.491
274,226.491
275,226.491
276,105.717
277,105.717
278,105.717
279,105.717
280,105.717
281,105.717
282,105.717
283,105.717
284,105.717
285,105.717
286,105.717
287,105.717
288,105.717
289,105.717
290,105.717
291,105.717
292,105.717
293,105.717
294,105.717
295,105.717
296,105.717
297,105.717
298,105.717
299,105.717
300,105.717
301,105.717
302,105.717
303,105.717
304,105.717
305,105.717
306,157.3807
307,157.3807
308,157.3807
309,157.3807
310,157.3807
311,157.3807
312,2253.2207
313,2438.6817
314,2349.1627
315,2310.5537
316,2292.8927
317,2284.3117
318,2279.8887
319,2277.4857
320,2276.1427
321,2275.3627
322,2274.9007
323,2274.6327
324,2274.4697
325,2274.3687
326,2385.247
327,2385.206
328,2385.186
329,2385.176
330,2264.369
331,2264.369
332,268.319
333,268.319
334,268.319
335,268.319
336,268.319
337,268.319
338,630.199
339,531.348
340,494.983
341,481.605
342,476.683
343,423.209
344,422.543
345,422.298
346,422.208
347,422.174
348,422.162
349,422.158
350,422.156
351,422.155
352,422.155
353,422.155
354,422.155
355,311.217
356,311.217
357,311.217
358,311.217
359,311.217
360,311.217
361,311.217
362,311.217
363,311.217
364,311.217
365,311.217
366,311.217
367,311.217
368,311.217
369,247.277
370,234.47
371,229.758
372,228.025
373,227.387
374,227.152
375,227.066
376,227.034
377,227.023
378,227.018
379,227.017
380,227.016
381,227.016
382,227.016
383,227.016
384,199.5958
385,199.5958
386,199.5958
387,199.5958
388,199.5958
389,199.5958
390,199.5958
391,199.5958
392,199.5958
393,199.5958
394,199.5958
395,199.5958
396,199.5958
397,199.5958
398,199.5958
399,199.5958
400,199.5958
401,199.5958
402,199.5958
403,199.5958
404,199.5958
405,199.5958
406,199.5958
407,199.5958
408,199.5958
409,199.5958
410,199.5958
411,199.5958
412,199.5958
413,199.5958
414,199.5958
415,199.5958
416,199.5958
417,199.5958
418,1992.1858
419,1992.1858
420,1992.1858
421,2220.2518
422,3542.377
423,1724.772
424,1715.57
425,1712.185
426,1710.939
427,1710.481
428,1710.312
429,226.25
430,226.228
431,226.219
432,226.216
433,226.215
434,226.215
435,226.214
436,226.214
437,226.214
438,226.214
439,105.717
440,105.717
441,105.717
442,105.717
443,355.749
444,329.565
445,319.932
446,316.389
447,458.333
448,457.853
449,457.677
450,457.612
451,457.588
452,457.58
453,457.576
454,457.575
455,457.575
456,457.574
457,457.574
458,457.574
459,457.574
460,457.574
461,457.574
462,457.574
463,1459.664
464,1459.664
465,1459.664
466,1459.664
467,1459.664
468,248.965
469,248.965
470,248.965
471,248.965
472,248.965
473,248.965
474,248.965
475,301.534
476,253.513
477,235.848
478,229.349
479,226.958
480,226.078
481,225.755
482,1224.892
483,225.592
484,225.576
485,225.57
486,225.568
487,225.567
488,225.567
489,225.567
490,225.567
491,105.717
492,105.717
493,105.717
494,105.717
495,105.717
496,105.717
497,1104.973
498,105.717
499,105.717
500,105.717
501,105.717
502,105.717
503,105.717
504,105.717
505,105.717
506,105.717
507,105.717
508,105.717
509,105.717
510,105.717
511,105.717
512,1104.973
513,105.717
514,105.717
515,105.717
516,105.717
517,105.717
518,105.717
519,105.717
520,105.717
521,105.717
522,105.717
523,105.717
524,105.717
525,105.717
526,105.717
527,1104.973
528,105.717
529,105.717
530,105.717
531,105.717
532,105.717
533,254.502
534,237.719
535,231.545
536,229.274
537,228.438
538,228.131
539,228.018
540,227.976
541,632.857
542,1510.606
543,2874.83
544,2858.387
545,2852.336
